Year,Yearday,Station,Event,EventLabel,Latitude,Longitude,Depth,Variable,Value,waterMass
2017,209,HG_V,14,PS107_007_01 ,79.1039,3.99222,30,PON,1.36214285714286,Atlantic
2017,209,HG_V,14,PS107_007_01 ,79.1039,3.99222,40,chl_a,0.312,Atlantic
2017,209,HG_V,14,PS107_007_01 ,79.1039,3.99222,40,POC,9.08333333333333,Atlantic
2017,209,HG_V,14,PS107_007_01 ,79.1039,3.99222,40,PON,1.04142857142857,Atlantic
2017,209,HG_V,14,PS107_007_01 ,79.1039,3.99222,100,chl_a,0.008,Atlantic
2017,209,HG_V,14,PS107_007_01 ,79.1039,3.99222,100,POC,1.58333333333333,Atlantic
2017,209,HG_V,14,PS107_007_01 ,79.1039,3.99222,100,PON,0.172857142857143,Atlantic
2017,210,HG_VI,15,PS107_008_01,79.255,3.66806,5,chl_a,0.942,Atlantic
2017,210,HG_VI,15,PS107_008_01,79.255,3.66806,5,POC,29.9366666666667,Atlantic
2017,210,HG_VI,15,PS107_008_01,79.255,3.66806,5,PON,3.14857142857143,Atlantic
2017,210,HG_VI,15,PS107_008_01,79.255,3.66806,10,chl_a,3.787,Atlantic
2017,210,HG_VI,15,PS107_008_01,79.255,3.66806,10,POC,31.66,Atlantic
2017,210,HG_VI,15,PS107_008_01,79.255,3.66806,10,PON,4.70642857142857,Atlantic
2017,210,HG_VI,15,PS107_008_01,79.255,3.66806,15,chl_a,3.449,Atlantic
2017,210,HG_VI,15,PS107_008_01,79.255,3.66806,15,POC,28.2066666666667,Atlantic
2017,210,HG_VI,15,PS107_008_01,79.255,3.66806,15,PON,4.02785714285714,Atlantic
2017,210,HG_VI,15,PS107_008_01,79.255,3.66806,25,chl_a,1.932,Atlantic
2017,210,HG_VI,15,PS107_008_01,79.255,3.66806,25,POC,13.8633333333333,Atlantic
2017,210,HG_VI,15,PS107_008_01,79.255,3.66806,25,PON,2.07142857142857,Atlantic
2017,210,HG_VI,15,PS107_008_01,79.255,3.66806,100,chl_a,0.022,Atlantic
2017,210,HG_VI,15,PS107_008_01,79.255,3.66806,100,POC,2.27666666666667,Atlantic
2017,210,HG_VI,15,PS107_008_01,79.255,3.66806,100,PON,0.257142857142857,Atlantic
2017,212,HG_VII,16,PS107_019_01,79.1936,3.73694,10,chl_a,3.322,Atlantic
2017,212,HG_VII,16,PS107_019_01,79.1936,3.73694,10,POC,23.1933333333333,Atlantic
2017,212,HG_VII,16,PS107_019_01,79.1936,3.73694,10,PON,3.80928571428571,Atlantic
2017,212,HG_VII,16,PS107_019_01,79.1936,3.73694,20,chl_a,2.779,Atlantic
2017,212,HG_VII,16,PS107_019_01,79.1936,3.73694,20,POC,26.3116666666667,Atlantic
2017,212,HG_VII,16,PS107_019_01,79.1936,3.73694,20,PON,3.82928571428571,Atlantic
2017,212,HG_VII,16,PS107_019_01,79.1936,3.73694,30,chl_a,1.731,Atlantic
2017,212,HG_VII,16,PS107_019_01,79.1936,3.73694,30,POC,10.4575,Atlantic
2017,212,HG_VII,16,PS107_019_01,79.1936,3.73694,30,PON,1.75357142857143,Atlantic
2017,212,HG_VII,16,PS107_019_01,79.1936,3.73694,40,chl_a,0.196,Atlantic
2017,212,HG_VII,16,PS107_019_01,79.1936,3.73694,40,POC,5.50916666666667,Atlantic
2017,212,HG_VII,16,PS107_019_01,79.1936,3.73694,40,PON,0.848571428571429,Atlantic
2017,212,HG_VII,16,PS107_019_01,79.1936,3.73694,100,chl_a,0.019,Atlantic
2017,212,HG_VII,16,PS107_019_01,79.1936,3.73694,100,POC,2.325,Atlantic
2017,212,HG_VII,16,PS107_019_01,79.1936,3.73694,100,PON,0.268571428571429,Atlantic
2017,213,HG_IX,17,PS107_020_08,79.1428,3.0175,10,chl_a,0.691,Atlantic
2017,213,HG_IX,17,PS107_020_08,79.1428,3.0175,10,POC,18.2325,Atlantic
2017,213,HG_IX,17,PS107_020_08,79.1428,3.0175,10,PON,2.81214285714286,Atlantic
2017,213,HG_IX,17,PS107_020_08,79.1428,3.0175,20,chl_a,0.961,Atlantic
2017,213,HG_IX,17,PS107_020_08,79.1428,3.0175,20,POC,15.8475,Atlantic
2017,213,HG_IX,17,PS107_020_08,79.1428,3.0175,20,PON,2.49428571428571,Atlantic
2017,213,HG_IX,17,PS107_020_08,79.1428,3.0175,35,chl_a,1.251,Atlantic
2017,213,HG_IX,17,PS107_020_08,79.1428,3.0175,35,POC,14.47,Atlantic
2017,213,HG_IX,17,PS107_020_08,79.1428,3.0175,35,PON,2.25857142857143,Atlantic
2017,213,HG_IX,17,PS107_020_08,79.1428,3.0175,50,chl_a,0.512,Atlantic
2017,213,HG_IX,17,PS107_020_08,79.1428,3.0175,50,POC,5.82166666666667,Atlantic
2017,213,HG_IX,17,PS107_020_08,79.1428,3.0175,50,PON,0.877857142857143,Atlantic
2017,213,HG_IX,17,PS107_020_08,79.1428,3.0175,100,chl_a,0.031,Atlantic
2017,215,EG_IV,18,PS107_022_06,78.8819,-1.05611,10,chl_a,0.201,Atlantic
2017,215,EG_IV,18,PS107_022_06,78.8819,-1.05611,10,POC,4.5625,Atlantic
2017,215,EG_IV,18,PS107_022_06,78.8819,-1.05611,10,PON,0.587857142857143,Atlantic
2017,215,EG_IV,18,PS107_022_06,78.8819,-1.05611,22,chl_a,0.503,Atlantic
2017,215,EG_IV,18,PS107_022_06,78.8819,-1.05611,22,POC,6.14916666666667,Atlantic
2017,215,EG_IV,18,PS107_022_06,78.8819,-1.05611,22,PON,0.779285714285714,Atlantic
2017,215,EG_IV,18,PS107_022_06,78.8819,-1.05611,40,chl_a,0.257,Atlantic
2017,215,EG_IV,18,PS107_022_06,78.8819,-1.05611,40,POC,2.38666666666667,Atlantic
2017,215,EG_IV,18,PS107_022_06,78.8819,-1.05611,40,PON,0.284285714285714,Atlantic
2017,215,EG_IV,18,PS107_022_06,78.8819,-1.05611,50,chl_a,0.064,Atlantic
2017,215,EG_IV,18,PS107_022_06,78.8819,-1.05611,50,POC,2.01083333333333,Atlantic
2017,215,EG_IV,18,PS107_022_06,78.8819,-1.05611,50,PON,0.262857142857143,Atlantic
2017,215,EG_IV,18,PS107_022_06,78.8819,-1.05611,100,chl_a,0.005,Atlantic
2017,215,EG_IV,18,PS107_022_06,78.8819,-1.05611,100,POC,2.59333333333333,Atlantic
2017,215,EG_IV,18,PS107_022_06,78.8819,-1.05611,100,PON,0.235714285714286,Atlantic
2017,215,EG_III,19,PS107_024_01,78.9633,-2.01028,10,chl_a,0.632,Atlantic
2017,215,EG_III,19,PS107_024_01,78.9633,-2.01028,10,POC,6.04833333333333,Atlantic
2017,215,EG_III,19,PS107_024_01,78.9633,-2.01028,10,PON,0.917142857142857,Atlantic
2017,215,EG_III,19,PS107_024_01,78.9633,-2.01028,20,chl_a,0.974,Atlantic
2017,215,EG_III,19,PS107_024_01,78.9633,-2.01028,20,POC,7.42333333333333,Atlantic
2017,215,EG_III,19,PS107_024_01,78.9633,-2.01028,20,PON,1.12428571428571,Atlantic
2017,215,EG_III,19,PS107_024_01,78.9633,-2.01028,40,chl_a,0.123,Atlantic
2017,215,EG_III,19,PS107_024_01,78.9633,-2.01028,40,POC,2.4275,Atlantic
2017,215,EG_III,19,PS107_024_01,78.9633,-2.01028,40,PON,0.300714285714286,Atlantic
2017,215,EG_III,19,PS107_024_01,78.9633,-2.01028,50,chl_a,0.096,Atlantic
2017,215,EG_III,19,PS107_024_01,78.9633,-2.01028,50,POC,2.38583333333333,Atlantic
2017,215,EG_III,19,PS107_024_01,78.9633,-2.01028,50,PON,0.203571428571429,Atlantic
2017,215,EG_III,19,PS107_024_01,78.9633,-2.01028,100,chl_a,0.019,Atlantic
2017,215,EG_III,19,PS107_024_01,78.9633,-2.01028,100,POC,2.25083333333333,Atlantic
2017,215,EG_III,19,PS107_024_01,78.9633,-2.01028,100,PON,0.247142857142857,Atlantic
2017,217,EG_II,20,PS107_028_01,78.9369,-3.27917,10,chl_a,0.378,Atlantic
2017,217,EG_II,20,PS107_028_01,78.9369,-3.27917,10,POC,6.68416666666667,Atlantic
2017,217,EG_II,20,PS107_028_01,78.9369,-3.27917,10,PON,0.707142857142857,Atlantic
