season,regime,trophicLevel,cellDensity,cellDensitySD,cellDensitySE,ESD,cellVolume,cellDensityCImin,cellDensityCImax,scenario,NperCell_MDL,NperCell_Verity,NperCell_Montagnes,NperCell_Moal,Ndensity_MDL,Ndensity_Verity,Ndensity_Montagnes,Ndensity_Moal
summer,warm,autotroph,0.010629765055958,0.002255350903043,0.000225535090304,0.674481441295827,0.160660322837864,0.010187716278961,0.011071813832954,S1,0.024986097980858,0.016701606169499,0.002649555254536,0.014090535576219,2.65596351201659E-10,1.77534149638905E-10,2.81641498584968E-11,1.49779082687826E-10
summer,warm,autotroph,0.01988695063875,0.004053789209587,0.000405378920959,0.682291568294462,0.166306274681789,0.019092407953671,0.020681493323829,S1,0.025729623940733,0.017212868013212,0.002744845984366,0.014504324275961,5.11683761262955E-10,3.42311456530062E-10,5.45866166020626E-11,2.88446780924462E-10
summer,warm,autotroph,0.036895315746221,0.007220239042644,0.000722023904264,0.690192132301443,0.172150637506477,0.035480148893863,0.038310482598579,S1,0.026495275438314,0.017739780368031,0.002843563826417,0.014930264471798,9.77551553079694E-10,6.545147979471E-10,1.04914185220182E-10,5.50856821861576E-10
summer,warm,autotroph,0.067881271760187,0.012743626618539,0.001274362661854,0.698184180527969,0.178200383903685,0.065383520942953,0.070379022577421,S1,0.027283710876193,0.018282822320163,0.0029458320361,0.015368713009767,1.85205299261325E-09,1.24106123045818E-09,1.99966825002368E-10,1.04324778442029E-09
summer,warm,autotroph,0.123857804787387,0.022289215718595,0.002228921571859,0.706268772311377,0.184462731497152,0.119489118506543,0.128226491068232,S1,0.028095608249433,0.018842487621381,0.003051778301684,0.015820037215196,3.47986036194121E-09,2.33378915351781E-09,3.77986561144382E-10,1.95943508112899E-09
summer,warm,autotroph,0.22413641102588,0.03863384174288,0.003863384174288,0.714446979255551,0.190945151553551,0.216564178044276,0.231708644007485,S1,0.028931665728594,0.019419285137961,0.003161534903721,0.01628461520045,6.48463972140747E-09,4.35256887551069E-09,7.08615086653132E-10,3.64997520596633E-09
summer,warm,autotroph,0.402290970958975,0.06636293817797,0.006636293817797,0.722719885372964,0.197655377896059,0.389283835076093,0.415298106841857,S1,0.029792602260105,0.020013739313353,0.003275238880207,0.016762836181699,1.19852948906121E-08,8.05134662088873E-09,1.31759902924101E-09,6.74353764356205E-09
summer,warm,autotroph,0.716197434905583,0.112975358920815,0.011297535892082,0.731088587228359,0.204601416131151,0.694054264557103,0.738340605254063,S1,0.030679158184507,0.020626390645034,0.003393032197681,0.017255100805006,2.19723343968065E-08,1.47725680713335E-08,2.43008095653125E-09,1.23580589355822E-08
summer,warm,autotroph,1.26479029683383,0.190616790827702,0.01906167908277,0.739554194084104,0.211791553199662,1.2274294058316,1.30215118783606,S1,0.031592095873088,0.021257796175933,0.003515061928482,0.017761821481973,3.99573763169253E-08,2.68866543353914E-08,4.44581621991457E-09,2.24649794644941E-08
summer,warm,autotroph,2.21579512601421,0.318772202747448,0.031877220274745,0.748117828047217,0.219234367263481,2.15331577427571,2.27827447775271,S1,0.032532200383464,0.021908530000925,0.003641480434377,0.018283422735262,7.20846910481963E-08,4.85448139941856E-08,8.06877459796844E-09,4.05123189836513E-08
