Cruise,Station,Longitude_E,Latitude_N,Bottle,Depth,NO3_NO2,QF_NO3_NO2,NO3_NO2_stdDev,QF_NO3_NO2_stdDev,NO3_NO2_CF,QF_NO3_NO2_CF,NO3_NO2_C,QF_NO3_NO2_C,NO3_NO2_C_stdDev,QF_NO3_NO2_C_stdDev,PO4,QF_PO4,PO4_stdDev,QF_PO4_stdDev,PO4_CF,QF_PO4_CF,PO4_C,QF_PO4_C,PO4_C_stdDev,QF_PO4_C_stdDev,NO2,QF_NO2,NO2_stdDev,QF_NO2_stdDev,NO2_CF,QF_NO2_CF,NO2_C,QF_NO2_C,NO2_C_stdDev,QF_NO2_C_stdDev,Si_OH4,QF_Si_OH4, Si_OH4_stdDev,QF_Si_OH4_stdDev,Si_OH4_CF,QF_Si_OH4_CF,Si_OH4_C,QF_Si_OH4_C,Si_OH4_C_stdDev,QF_Si_OH4_C_stdDev,NH4,QF_NH4,NH4_stdDev,QF_NH4_stdDev,NH4_CF,QF_NH4_CF,NH4_C,QF_NH4_C,NH4_C_stdDev,QF_NH4_C_stdDev
PS114,009_04,5.047,78.6073,7,1200,14.035,0,0.049,0,1,0,14.035,0,0.049,0,1.041,0,0.003,0,0.9087,0,0.946,0,0.003,0,0.007,0,0.001,0,0.7291,0,0.005,0,0.001,0,8.92,0,0.014,0,1.0554,0,9.414,0,0.015,0,0.38,1,0.001,1,0.9748,1,0.37,1,0.001,
PS114,009_04,5.047,78.6073,4,2000,14.975,0,0.021,0,1,0,14.975,0,0.021,0,1.103,0,0,0,0.9087,0,1.002,0,0,0,0.007,0,0.001,0,0.7291,0,0.005,0,0.001,0,11.745,0,0.021,0,1.0554,0,12.396,0,0.022,0,0.361,1,0,1,0.9748,1,0.352,1,0,
PS114,009_04,5.047,78.6073,1,2286,14.985,0,0.007,0,1,0,14.985,0,0.007,0,1.108,0,0.004,0,0.9087,0,1.007,0,0.004,0,0.007,0,0.001,0,0.7291,0,0.005,0,0.001,0,11.985,0,0.134,0,1.0554,0,12.649,0,0.142,0,0.369,1,0.001,1,0.9748,1,0.359,1,0.001,
PS114,012_01,7.0346,79.0117,21,10,0.075,0,0.007,0,1,0,0.075,0,0.007,0,0.192,0,0.004,0,0.9087,0,0.174,0,0.003,0,0.013,0,0,0,0.7291,0,0.009,0,0,0,1.325,0,0.007,0,1.0554,0,1.398,0,0.007,0,0.348,1,0.001,1,0.9748,1,0.339,1,0.001,
PS114,012_01,7.0346,79.0117,14,23,1.525,0,0.007,0,1,0,1.525,0,0.007,0,0.325,0,0.003,0,0.9087,0,0.295,0,0.003,0,0.057,0,0.001,0,0.7291,0,0.041,0,0.001,0,2.065,0,0.007,0,1.0554,0,2.179,0,0.007,0,0.974,1,0.002,1,0.9748,1,0.949,1,0.002,
PS114,012_01,7.0346,79.0117,8,75,7.74,0,0.042,0,1,0,7.74,0,0.042,0,0.7,0,0.005,0,0.9087,0,0.636,0,0.004,0,0.143,0,0.001,0,0.7291,0,0.104,0,0.001,0,3.9,0,0,0,1.0554,0,4.116,0,0,0,1.967,1,0.013,1,0.9748,1,1.917,1,0.012,
PS114,012_01,7.0346,79.0117,5,100,10.035,0,0.035,0,1,0,10.035,0,0.035,0,0.785,0,0.001,0,0.9087,0,0.713,0,0.001,0,0.161,0,0.001,0,0.7291,0,0.117,0,0.001,0,4.22,0,0,0,1.0554,0,4.454,0,0,0,1.18,1,0.006,1,0.9748,1,1.15,1,0.006,
PS114,012_01,7.0346,79.0117,3,250,12.03,0,0.028,0,1,0,12.03,0,0.028,0,0.874,0,0.001,0,0.9087,0,0.794,0,0.001,0,0.016,0,0.001,0,0.7291,0,0.011,0,0.001,0,4.675,0,0.007,0,1.0554,0,4.934,0,0.007,0,0.349,1,0.008,1,0.9748,1,0.34,1,0.008,
PS114,012_01,7.0346,79.0117,2,500,12.545,0,0.148,0,1,0,12.545,0,0.148,0,0.911,0,0.001,0,0.9087,0,0.827,0,0.001,0,0.03,0,0.001,0,0.7291,0,0.022,0,0.001,0,5.195,0,0.007,0,1.0554,0,5.483,0,0.007,0,0.349,1,0.001,1,0.9748,1,0.34,1,0.001,
PS114,012_01,7.0346,79.0117,1,699,14.295,0,0.078,0,1,0,14.295,0,0.078,0,1.043,0,0.003,0,0.9087,0,0.948,0,0.003,0,0.007,0,0.001,0,0.7291,0,0.005,0,0.001,0,8,0,0.028,0,1.0554,0,8.443,0,0.03,0,0.347,1,0.001,1,0.9748,1,0.338,1,0.001,
PS114,012_04,7.0331,79.0116,23,150,11.945,0,0.035,0,1,0,11.945,0,0.035,0,0.844,0,0.008,0,0.9087,0,0.766,0,0.007,0,0.101,0,0.001,0,0.7291,0,0.074,0,0.001,0,4.5,0,0,0,1.0554,0,4.749,0,0,0,0.344,1,0,1,0.9748,1,0.335,1,0,
PS114,012_04,7.0331,79.0116,20,250,12.28,0,0.042,0,1,0,12.28,0,0.042,0,0.874,0,0.001,0,0.9087,0,0.794,0,0.001,0,0.017,0,0.001,0,0.7291,0,0.012,0,0.001,0,4.66,0,0.014,0,1.0554,0,4.918,0,0.015,0,0.368,1,0,1,0.9748,1,0.359,1,0,
PS114,012_04,7.0331,79.0116,19,300,12.135,0,0.021,0,1,0,12.135,0,0.021,0,0.868,0,0.001,0,0.9087,0,0.788,0,0.001,0,0.014,0,0.001,0,0.7291,0,0.01,0,0.001,0,4.66,0,0,0,1.0554,0,4.918,0,0,0,0.355,1,0,1,0.9748,1,0.346,1,0,
PS114,012_04,7.0331,79.0116,18,400,12.68,0,0.028,0,1,0,12.68,0,0.028,0,0.91,0,0.001,0,0.9087,0,0.827,0,0.001,0,0.018,0,0,0,0.7291,0,0.013,0,0,0,5.21,0,0.014,0,1.0554,0,5.499,0,0.015,0,0.454,1,0.001,1,0.9748,1,0.443,1,0.001,
PS114,012_04,7.0331,79.0116,15,500,12.83,0,0,0,1,0,12.83,0,0,0,0.915,0,0.002,0,0.9087,0,0.831,0,0.002,0,0.014,0,0,0,0.7291,0,0.01,0,0,0,5.29,0,0.028,0,1.0554,0,5.583,0,0.03,0,0.34,1,0.001,1,0.9748,1,0.331,1,0.001,
PS114,012_04,7.0331,79.0116,12,750,14.5,0,0.057,0,1,0,14.5,0,0.057,0,1.049,0,0.004,0,0.9087,0,0.953,0,0.003,0,0.003,0,0,0,0.7291,0,0.002,0,0,0,8.605,0,0.021,0,1.0554,0,9.082,0,0.022,0,0.334,1,0,1,0.9748,1,0.326,1,0,
PS114,012_04,7.0331,79.0116,11,800,14.595,0,0.12,0,1,0,14.595,0,0.12,0,1.063,0,0.002,0,0.9087,0,0.965,0,0.002,0,0.005,0,0.001,0,0.7291,0,0.003,0,0.001,0,9.135,0,0.12,0,1.0554,0,9.641,0,0.127,0,0.355,1,0.001,1,0.9748,1,0.346,1,0.001,
